Rank,Player,Goals
1512.0,Stig Inge Bjornebye,2.0
1512.0,Clayton Blackmore,2.0
1512.0,Jesper Blomqvist,2.0
1512.0,Jared Borgetti,2.0
1512.0,Brian Borrows,2.0
1512.0,Jovo Bosancic,2.0
1512.0,Paul Bosvelt,2.0
1512.0,Steve Bould,2.0
1512.0,Miguel Britos,2.0
1512.0,Steve Brown,2.0
1512.0,Paul Butler,2.0
1512.0,Alexander Büttner,2.0
1512.0,Ákos Buzsáky,2.0
1512.0,Tom Cairney,2.0
1512.0,Geoff Cameron,2.0
1512.0,Tom Carroll,2.0
1512.0,Jimmy Carter,2.0
1512.0,Luke Chadwick,2.0
1512.0,Steve Chettle,2.0
1512.0,Bruno Cheyrou,2.0
1512.0,Youssef Chippo,2.0
1512.0,André Santos,2.0
1512.0,Simon Coleman,2.0
1512.0,Manucho,2.0
1512.0,Daniel Cordone,2.0
1512.0,Vedran Corluka,2.0
1512.0,Richard Cresswell,2.0
1512.0,Dani,2.0
1512.0,Abel Xavier,2.0
1512.0,Liam Daish,2.0
1512.0,Jean-Claude Darcheville,2.0
1512.0,Calum Davenport,2.0
1512.0,Callum Davidson,2.0
1512.0,Andy Dawson,2.0
1512.0,Ulises de la Cruz,2.0
1512.0,Ritchie de Laet,2.0
1512.0,Mathieu Debuchy,2.0
1512.0,Steven Defour,2.0
1512.0,Mark Delaney,2.0
1512.0,Nathan Delfouneso,2.0
1512.0,Jay DeMerit,2.0
1512.0,Leander Dendoncker,2.0
1512.0,Memphis Depay,2.0
1512.0,Salif Diao,2.0
1512.0,Adama Diomande,2.0
1512.0,Kerry Dixon,2.0
1512.0,Giorgos Donis,2.0
1512.0,Landon Donovan,2.0
1512.0,Paul Dummett,2.0
1512.0,David Edgar,2.0
1512.0,Tahar El-Khalej,2.0
1512.0,Eljero Elia,2.0
1512.0,Gary Elkins,2.0
1512.0,Stephen Elliott,2.0
1512.0,George Elokobi,2.0
1512.0,José Enrique,2.0
1512.0,Gareth Farrelly,2.0
1512.0,Kiko Femenía,2.0
1512.0,Manuel Fernandes,2.0
1512.0,Federico Fernández,2.0
1512.0,Hugo Viana,2.0
1512.0,Curtis Fleming,2.0
1512.0,Chico Flores,2.0
1512.0,Kevin Foley,2.0
1512.0,Daniel Fox,2.0
1512.0,Jorginho,2.0
1512.0,Matty Fryatt,2.0
1512.0,Christian Fuchs,2.0
1512.0,Javi García,2.0
1512.0,Anthony Gardner,2.0
1512.0,Javier Garrido,2.0
1512.0,Phil Gee,2.0
1512.0,Kieran Gibbs,2.0
1512.0,Ben Gibson,2.0
1512.0,Carles Gil,2.0
1512.0,Steve Gohouri,2.0
1512.0,Mark González,2.0
1512.0,Yordi,2.0
1512.0,David Goodwillie,2.0
1512.0,Corrado Grabbi,2.0
1512.0,Tony Grant,2.0
1512.0,Xavier Gravelaine,2.0
1512.0,Andrew Gray,2.0
1512.0,Andy Griffin,2.0
1512.0,Leandre Griffit,2.0
1512.0,Perry Groves,2.0
1512.0,Johannes Karl Gudjonsson,2.0
1512.0,Adlène Guédioura,2.0
1512.0,Aron Gunnarsson,2.0
1512.0,Fitz Hall,2.0
1512.0,Owen Hargreaves,2.0
1512.0,John Harkes,2.0
1512.0,Mark Hateley,2.0
1512.0,Isaac Hayden,2.0
1512.0,Micky Hazard,2.0
1512.0,Ahmed Hegazi,2.0
1512.0,Tomer Hemed,2.0
1512.0,John Hendry,2.0
1512.0,Stuart Holden,2.0
1512.0,Lewis Holtby,2.0
1512.0,Kevin Horlock,2.0
1512.0,Marc Hottiger,2.0
1512.0,Bobby Howe,2.0
1512.0,Jamie Hoyland,2.0
1512.0,Justin Hoyte,2.0
1512.0,Paul Hughes,2.0
1512.0,Noel Hunt,2.0
1512.0,Jonathan Hunt,2.0
1512.0,Lee Hurst,2.0
1512.0,Giannelli Imbula,2.0
1512.0,Klas Ingesson,2.0
1512.0,Wayne Jacobs,2.0
1512.0,Andreas Jakobsson,2.0
1512.0,Vincent Janssen,2.0
1512.0,Dong-Won Ji,2.0
1512.0,Andy Johnson,2.0
1512.0,Michael Johnson,2.0
1512.0,Roger Johnson,2.0
1512.0,Allan Johnston,2.0
1512.0,Phil Jones,2.0
1512.0,Cobi Jones,2.0
1512.0,Naby Keita,2.0
1512.0,Gary Kelly,2.0
1512.0,Stephen Kelly,2.0
1512.0,Mark Kennedy,2.0
1512.0,Matthew Kilgallon,2.0
1512.0,Jovan Kirovski,2.0
1512.0,Radostin Kishishev,2.0
1512.0,Jakob Kjeldbjerg,2.0
1512.0,Kléberson,2.0
1512.0,Sead Kolasinac,2.0
1512.0,Andrej Kramaric,2.0
1512.0,Roland Lamah,2.0
1512.0,Bernard Lambourde,2.0
1512.0,Mikele Leigertwood,2.0
1512.0,Mario Lemina,2.0
1512.0,Jefferson Lerma,2.0
1512.0,Matthew Lowton,2.0
1512.0,Andreas Lund,2.0
1512.0,Des Lyttle,2.0
1512.0,Gary Mabbutt,2.0
1512.0,Jonathan Macken,2.0
1512.0,Alan Mahon,2.0
1512.0,Claude Makelele,2.0
1512.0,Chris Makin,2.0
1512.0,Solly March,2.0
1512.0,Adrian Mariappa,2.0
1512.0,Isaías,2.0
1512.0,Alvin Martin,2.0
1512.0,Stuart McCall,2.0
1512.0,Jay McEveley,2.0
1512.0,John McGreal,2.0
1512.0,Derek McInnes,2.0
1512.0,Callum McManaman,2.0
1512.0,Paul McShane,2.0
1512.0,Scott McTominay,2.0
1512.0,Paul McVeigh,2.0
1512.0,Andy Melville,2.0
1512.0,Bernard Mendy,2.0
1512.0,Nicky Mohan,2.0
1512.0,Vincenzo Montella,2.0
1512.0,Tommy Mooney,2.0
1512.0,Kevin Moore,2.0
1512.0,Darren Moore,2.0
1512.0,Stefan Moore,2.0
1512.0,Steve Morgan,2.0
1512.0,Ahmed Musa,2.0
1512.0,Andy Myers,2.0
1512.0,João Mário,2.0
1512.0,Richard Naylor,2.0
1512.0,Badou Ndiaye,2.0
1512.0,M'Baye Niang,2.0
1512.0,Joey O'Brien,2.0
1512.0,Stefan Oakes,2.0
1512.0,Gabriel Obertan,2.0
1512.0,Angelo Ogbonna,2.0
1512.0,Manny Omoyinmi,2.0
1512.0,André Ooijer,2.0
1512.0,Richard Ord,2.0
1512.0,John Oster,2.0
1512.0,Bryan Oviedo,2.0
1512.0,Alberto Paloschi,2.0
1512.0,Stuart Parnaby,2.0
1512.0,Alessandro Pistone,2.0
1512.0,Claudio Pizarro,2.0
1512.0,Chris Powell,2.0
1512.0,Spencer Prior,2.0
1512.0,Tamás Priskin,2.0
1512.0,Michael Proctor,2.0
1512.0,David Prutton,2.0
1512.0,Florin Raducioiu,2.0
1512.0,Iván Ramis,2.0
1512.0,Andrea Ranocchia,2.0
1512.0,Declan Rice,2.0
1512.0,Andrew Robertson,2.0
1512.0,Bryan Robson,2.0
1512.0,Rubén Rochina,2.0
1512.0,Yannick Sagbo,2.0
1512.0,Romain Saïss,2.0
1512.0,Jlloyd Samuel,2.0
1512.0,Stefan Schnoor,2.0
1512.0,Andrew Scott,2.0
1512.0,Freddie Sears,2.0
1512.0,Ryan Sessegnon,2.0
1512.0,Paul Shaw,2.0
1512.0,Darío Silva,2.0
1512.0,Paul Simpson,2.0
1512.0,Stuart Slater,2.0
1512.0,Ramadan Sobhi,2.0
1512.0,Paul Stalteri,2.0
1512.0,Robbie Stockdale,2.0
1512.0,Frank Strandli,2.0
1512.0,Isaac Success,2.0
1512.0,Hakan Sükür,2.0
1512.0,Kit Symons,2.0
1512.0,Idan Tal,2.0
1512.0,Adam Tanner,2.0
1512.0,Mauricio Taricco,2.0
1512.0,Shaun Teale,2.0
1512.0,Andranik Teymourian,2.0
1512.0,Andy Thorn,2.0
1512.0,Danny Tiatto,2.0
1512.0,Eric Tinkler,2.0
1512.0,Michael Tonge,2.0
1512.0,Lucas Torreira,2.0
1512.0,Juan Cala,2.0
1512.0,Bertrand Traoré,2.0
1512.0,Kieran Trippier,2.0
1512.0,Yan Valery,2.0
1512.0,Giovanni van Bronckhorst,2.0
1512.0,Mike van der Hoorn,2.0
1512.0,Robin van Der Laan,2.0
1512.0,Steve Vickers,2.0
1512.0,Ron Vlaar,2.0
1512.0,Moritz Volz,2.0
1512.0,Richard Walker,2.0
1512.0,Mark Ward,2.0
1512.0,Julian Watts,2.0
1512.0,Ronnie Whelan,2.0
1512.0,Mike Whitlow,2.0
1512.0,Gerard Wiekens,2.0
1512.0,Ron Willems,2.0
1512.0,Darren Williams,2.0
1512.0,Jimmy Willis,2.0
1512.0,Fabian Wilnis,2.0
1512.0,Danny Wilson,2.0
1512.0,Harry Winks,2.0
1512.0,Bradley Wright-Phillips,2.0
1512.0,Andriy Yarmolenko,2.0
1512.0,Hassan Yebda,2.0
1788.0,Martin Albrechtsen,1.0
1788.0,Chris Allen,1.0
1788.0,Özalan Alpay,1.0
1788.0,Cédric Soares,1.0
1788.0,Daniel Amartey,1.0
1788.0,Fernando Amorebieta,1.0
1788.0,Martin Andresen,1.0
1788.0,Brett Angell,1.0
1788.0,Bernard,1.0
1788.0,Alberto Aquilani,1.0
1788.0,Ian Ashbee,1.0
1788.0,Will Atkinson,1.0
1788.0,Thimothée Atouba,1.0
1788.0,Daniel Ayala,1.0
1788.0,Floyd Ayité,1.0
1788.0,Juninho Bacuna,1.0
1788.0,Walid Badir,1.0
1788.0,Dino Baggio,1.0
1788.0,Dennis Bailey,1.0
1788.0,Eric Bailly,1.0
1788.0,Fabián Balbuena,1.0
1788.0,Leon Balogun,1.0
1788.0,Patrick Bamford,1.0
1788.0,Harvey Barnes,1.0
1788.0,Giles Barnes,1.0
1788.0,Leon Barnett,1.0
1788.0,Earl Barrett,1.0
1788.0,Modou Barrow,1.0
1788.0,Chris Basham,1.0
1788.0,Steve Basham,1.0
1788.0,Christian Bassedas,1.0
1788.0,Matthew Bates,1.0
1788.0,Craig Beattie,1.0
1788.0,Jan Bednarek,1.0
1788.0,Asmir Begovic,1.0
1788.0,Stefan Beinlich,1.0
1788.0,Tal Ben Haim,1.0
1788.0,Francis Benali,1.0
1788.0,Trevor Benjamin,1.0
1788.0,Frankie Bennett,1.0
1788.0,Greg Berry,1.0
1788.0,Habib Beye,1.0
1788.0,Gael Bigirimana,1.0
1788.0,Dexter Blackstock,1.0
1788.0,Laurent Blanc,1.0
1788.0,Kepa,1.0
1788.0,Paul Boertien,1.0
1788.0,Valeri Bojinov,1.0
1788.0,Thierry Bonalair,1.0
1788.0,Wilfred Bouma,1.0
1788.0,Bobby Bowry,1.0
1788.0,Dedryck Boyata,1.0
1788.0,Daniel Braaten,1.0
1788.0,Paul Bracewell,1.0
1788.0,Orlando Sá,1.0
1788.0,Rufus Brevett,1.0
1788.0,Ian Brightwell,1.0
1788.0,David Brightwell,1.0
1788.0,Lee Briscoe,1.0
1788.0,Chris Brown,1.0
1788.0,Gary Bull,1.0
1788.0,Mark Burchill,1.0
1788.0,Peter Butler,1.0
1788.0,Ian Butterworth,1.0
1788.0,Rémy Cabella,1.0
1788.0,Claudio Caçapa,1.0
1788.0,Jonathan Calleri,1.0
1788.0,Zoumana Camara,1.0
1788.0,André Carrillo,1.0
1788.0,Patrice Carteron,1.0
1788.0,Pierluigi Casiraghi,1.0
1788.0,Nélson Oliveira,1.0
1788.0,Jonny,1.0
1788.0,Justin Channing,1.0
1788.0,Ben Chilwell,1.0
1788.0,Vlad Chiriches,1.0
1788.0,Philippe Christanval,1.0
1788.0,Kalifa Cissé,1.0
1788.0,Steve Clarke,1.0
1788.0,Jordy Clasie,1.0
1788.0,Sebastián Coates,1.0
1788.0,Patrick Colleter,1.0
1788.0,David Connolly,1.0
1788.0,David Cotterill,1.0
1788.0,Andrew Couzens,1.0
1788.0,Gordon Cowans,1.0
1788.0,Simon Cox,1.0
1788.0,Gary Croft,1.0
1788.0,Lee Croft,1.0
1788.0,Gary Crosby,1.0
1788.0,Albert Crusat,1.0
1788.0,Mark Cullen,1.0
1788.0,Ian Culverhouse,1.0
1788.0,Jason Cundy,1.0
1788.0,Andrés D'Alessandro,1.0
1788.0,Fabio,1.0
1788.0,Alexandre Pato,1.0
1788.0,Gilberto,1.0
1788.0,Paul Dalglish,1.0
1788.0,Matteo Darmian,1.0
1788.0,Chris David,1.0
1788.0,Edgar Davids,1.0
1788.0,Paul Davis,1.0
1788.0,Gabriel,1.0
1788.0,Siem de Jong,1.0
1788.0,Nigel de Jong,1.0
1788.0,Asier Del Horno,1.0
1788.0,Guy Demel,1.0
1788.0,Shaun Derry,1.0
1788.0,Samba Diakité,1.0
1788.0,Mahamadou Diarra,1.0
1788.0,Lass Diarra,1.0
1788.0,Issa Diop,1.0
1788.0,Martin Djetou,1.0
1788.0,Johan Djourou,1.0
1788.0,Gerald Dobbs,1.0
1788.0,Simon Donnelly,1.0
1788.0,Andrea Dossena,1.0
1788.0,Jonathan Douglas,1.0
1788.0,John Dreyer,1.0
1788.0,Adam Drury,1.0
1788.0,Richard Dryden,1.0
1788.0,Neal Eardley,1.0
1788.0,Erik Edman,1.0
1788.0,Marc Edworthy,1.0
1788.0,Hossam Ghaly,1.0
1788.0,David Elm,1.0
1788.0,Tommy Elphick,1.0
1788.0,Urby Emanuelson,1.0
1788.0,Marvin Emnes,1.0
1788.0,Roger Espinoza,1.0
1788.0,Kelvin Etuhu,1.0
1788.0,Ched Evans,1.0
1788.0,Ian Evatt,1.0
1788.0,Delroy Facey,1.0
1788.0,Khalilou Fadiga,1.0
1788.0,Keith Fahey,1.0
1788.0,Julien Faubert,1.0
1788.0,Alejandro Faurlin,1.0
1788.0,Amdy Faye,1.0
1788.0,Sam Field,1.0
1788.0,Steve Finnan,1.0
1788.0,Jon Flanagan,1.0
1788.0,Craig Fleming,1.0
1788.0,Carl Fletcher,1.0
1788.0,Willo Flood,1.0
1788.0,Phil Foden,1.0
1788.0,Dominic Foley,1.0
1788.0,Mark Ford,1.0
1788.0,Hayden Foxe,1.0
1788.0,Juan Foyth,1.0
1788.0,Ryan Fredericks,1.0
1788.0,Chris Freestone,1.0
1788.0,Brad Friedel,1.0
1788.0,Esteban Fuertes,1.0
1788.0,Jamie Fullarton,1.0
1788.0,Thomas Gaardsoe,1.0
1788.0,Danny Gabbidon,1.0
1788.0,Sam Gallagher,1.0
1788.0,John Gannon,1.0
1788.0,Richard Garcia,1.0
1788.0,Diego Gavilan,1.0
1788.0,Rachid Ghezzal,1.0
1788.0,Kamel Ghilas,1.0
1788.0,Terry Gibson,1.0
1788.0,Phil Gilchrist,1.0
1788.0,Serge Gnabry,1.0
1788.0,Alain Goma,1.0
1788.0,Silvestre Varela,1.0
1788.0,Borja Bastón,1.0
1788.0,Greg Goodridge,1.0
1788.0,Dale Gordon,1.0
1788.0,Kaspars Gorkss,1.0
1788.0,Richard Gough,1.0
1788.0,Lewis Grabban,1.0
1788.0,Max-Alain Gradel,1.0
1788.0,Martin Grainger,1.0
1788.0,Elliot Grandin,1.0
1788.0,Esteban Granero,1.0
1788.0,Andy Gray,1.0
1788.0,Jack Grealish,1.0
1788.0,Sean Gregan,1.0
1788.0,David Gregory,1.0
1788.0,Vratislav Gresko,1.0
1788.0,Thordur Gudjonsson,1.0
1788.0,Magaye Gueye,1.0
1788.0,Stephane Guivarc'h,1.0
1788.0,Marcus Hall,1.0
1788.0,Grant Hanley,1.0
1788.0,Bo Hansen,1.0
1788.0,Kevin Harper,1.0
1788.0,Kadeem Harris,1.0
1788.0,Josh Harrop,1.0
1788.0,Gabriel Heinze,1.0
1788.0,Glenn Helder,1.0
1788.0,Ángelo Henríquez,1.0
1788.0,Chris Herd,1.0
1788.0,Fernando Hierro,1.0
1788.0,Clint Hill,1.0
1788.0,Andy Hill,1.0
1788.0,David Hillier,1.0
1788.0,Zavon Hines,1.0
1788.0,Jon Olav Hjelde,1.0
1788.0,Glenn Hoddle,1.0
1788.0,Andreas Pereira,1.0
1788.0,Brett Holman,1.0
1788.0,Steve Howard,1.0
1788.0,Tim Howard,1.0
1788.0,Mark Hudson,1.0
1788.0,Ceri Hughes,1.0
1788.0,Nicky Hunt,1.0
1788.0,Paul Huntington,1.0
1788.0,Ben Hutchinson,1.0
1788.0,Pablo Ibáñez,1.0
1788.0,Johnnie Jackson,1.0
1788.0,Gonzalo Jara,1.0
1788.0,Ryan Jarvis,1.0
1788.0,Leigh Jenkinson,1.0
1788.0,John Jensen,1.0
1788.0,Niclas Jensen,1.0
1788.0,Luis Jiménez,1.0
1788.0,Xisco,1.0
1788.0,Michael Johansen,1.0
1788.0,Erland Johnsen,1.0
1788.0,Keith Jones,1.0
1788.0,Matthew Jones,1.0
1788.0,Scott Jones,1.0
1788.0,Elias Kachunga,1.0
1788.0,Gaël Kakuta,1.0
1788.0,Kei Kamara,1.0
1788.0,Jem Karacan,1.0
1788.0,Azar Karadas,1.0
1788.0,Giorgos Karagounis,1.0
1788.0,Steffen Karl,1.0
1788.0,Graham Kavanagh,1.0
1788.0,Mikhail Kavelashvili,1.0
1788.0,Beram Kayal,1.0
1788.0,Kazim,1.0
1788.0,Peter Kennedy,1.0
1788.0,Billy Kenny,1.0
1788.0,Andy Keogh,1.0
1788.0,Zurab Khizanishvili,1.0
1788.0,Kim Bo-Kyung,1.0
1788.0,Phil King,1.0
1788.0,Ragnar Klavan,1.0
1788.0,Timm Klose,1.0
1788.0,Terence Kongolo,1.0
1788.0,Ognjen Koroman,1.0
1788.0,Kevin Kyle,1.0
1788.0,Henrik Larsson,1.0
1788.0,Miguel Layún,1.0
1788.0,David Lee,1.0
1788.0,Lucas Leiva,1.0
1788.0,Eric Lichaj,1.0
1788.0,Andy Liddell,1.0
1788.0,Derek Lilley,1.0
1788.0,Victor Lindelöf,1.0
1788.0,Martin Ling,1.0
1788.0,Joe Lolley,1.0
1788.0,Kevin Long,1.0
1788.0,Sean Longstaff,1.0
1788.0,Ademola Lookman,1.0
1788.0,Teddy Lucic,1.0
1788.0,Diego Lugano,1.0
1788.0,Antonio Luna,1.0
1788.0,Claus Lundekvam,1.0
1788.0,Albert Luque,1.0
1788.0,Yann M'Vila,1.0
1788.0,Mbulelo Mabizela,1.0
1788.0,Charlie MacDonald,1.0
1788.0,Danny Maddix,1.0
1788.0,Gavin Mahon,1.0
1788.0,Stefan Maierhofer,1.0
1788.0,Ainsley Maitland-Niles,1.0
1788.0,Stefan Malz,1.0
1788.0,Javier Manquillo,1.0
1788.0,Dario Marcolin,1.0
1788.0,Javier Margas,1.0
1788.0,Marko Marin,1.0
1788.0,Nicky Marker,1.0
1788.0,Hélder Postiga,1.0
1788.0,Lee Marshall,1.0
1788.0,Scott Marshall,1.0
1788.0,Cuco Martina,1.0
1788.0,Williams Martínez,1.0
1788.0,Bruno Martins Indi,1.0
1788.0,Sylvain Marveaux,1.0
1788.0,Javier Mascherano,1.0
1788.0,Marek Matejovsky,1.0
1788.0,Marco Materazzi,1.0
1788.0,Youl Mawene,1.0
1788.0,Isaac Mbenza,1.0
1788.0,Patrick Mboma,1.0
1788.0,George McCartney,1.0
1788.0,Kevin McDonald,1.0
1788.0,Aiden McGeady,1.0
1788.0,Ray McKinnon,1.0
1788.0,Steve McMahon,1.0
1788.0,Michael Meaker,1.0
1788.0,Tyrone Mears,1.0
1788.0,Gary Megson,1.0
1788.0,John Mensah,1.0
1788.0,Juan Carlos Menseguéz,1.0
1788.0,Fran Mérida,1.0
1788.0,Mikel Merino,1.0
1788.0,Max Meyer,1.0
1788.0,Lubomir Michalik,1.0
1788.0,Adie Mike,1.0
1788.0,John Obi Mikel,1.0
1788.0,Paul Miller,1.0
1788.0,Liam Miller,1.0
1788.0,Yerry Mina,1.0
1788.0,Viorel Moldovan,1.0
1788.0,Jefferson Montero,1.0
1788.0,Rodrigo Moreno,1.0
1788.0,Chris Morgan,1.0
1788.0,Ivica Mornar,1.0
1788.0,Steve Morrow,1.0
1788.0,Paul Mortimer,1.0
1788.0,Steven Mouyokolo,1.0
1788.0,John Mullin,1.0
1788.0,Marc Muniesa,1.0
1788.0,David Murphy,1.0
1788.0,Jacob Murphy,1.0
1788.0,Yoshinori Muto,1.0
1788.0,Arnold Mvuemba,1.0
1788.0,Mats Møller Dæhli,1.0
1788.0,Alfred N'Diaye,1.0
1788.0,Hidetoshi Nakata,1.0
1788.0,Lilian Nalis,1.0
1788.0,Luciano Narsingh,1.0
1788.0,Kyle Naughton,1.0
1788.0,Noureddine Naybet,1.0
1788.0,George Ndah,1.0
1788.0,Didier Ndong,1.0
1788.0,Aidan Newhouse,1.0
1788.0,Shaun Newton,1.0
1788.0,Steve Nicol,1.0
1788.0,Luc Nijholt,1.0
1788.0,Luc Nilis,1.0
1788.0,Roland Nilsson,1.0
1788.0,Avi Nimni,1.0
1788.0,Eddie Nketiah,1.0
1788.0,Craig Noone,1.0
1788.0,Alex Nyarko,1.0
1788.0,Lewin Nyatanga,1.0
1788.0,Liam O'Brien,1.0
1788.0,Stuart O'Keefe,1.0
1788.0,Scott Oakes,1.0
1788.0,Michael Obafemi,1.0
1788.0,Jores Okore,1.0
1788.0,David Oldfield,1.0
1788.0,Andrea Orlandi,1.0
1788.0,Thorvaldu Örlygsson,1.0
1788.0,Mixu Paatelainen,1.0
1788.0,Michele Padovano,1.0
1788.0,Robert Page,1.0
1788.0,Wilson Palacios,1.0
1788.0,Steve Palmer,1.0
1788.0,Sokratis,1.0
1788.0,Paul Parker,1.0
1788.0,Darren Patterson,1.0
1788.0,Mark Patterson,1.0
1788.0,Adrian Paz,1.0
1788.0,Nigel Pearson,1.0
1788.0,Per Pedersen,1.0
1788.0,Matthew Pennington,1.0
1788.0,James Perch,1.0
1788.0,Sébastien Pérez,1.0
1788.0,David Perpetuini,1.0
1788.0,Terry Phelan,1.0
1788.0,Erik Pieters,1.0
1788.0,Matt Piper,1.0
1788.0,John Polston,1.0
1788.0,Nick Powell,1.0
1788.0,Darren Powell,1.0
1788.0,Darren Pratley,1.0
1788.0,Steven Pressley,1.0
1788.0,Rade Prica,1.0
1788.0,Davy Pröpper,1.0
1788.0,Danny Pugh,1.0
1788.0,Darren Purse,1.0
1788.0,Sébastien Puygrenier,1.0
1788.0,Domingos Quina,1.0
1788.0,Michael Reddy,1.0
1788.0,Steve Redmond,1.0
1788.0,Cyrille Regis,1.0
1788.0,Michael Reiziger,1.0
1788.0,Sam Ricketts,1.0
1788.0,Rohan Ricketts,1.0
1788.0,Sascha Riether,1.0
1788.0,Douglas Rinaldi,1.0
1788.0,Cristian Riveros,1.0
1788.0,Emmanuel Rivière,1.0
1788.0,Paul Robinson,1.0
1788.0,Paul Robinson,1.0
1788.0,Marvin Robinson,1.0
1788.0,Helder,1.0
1788.0,Fred,1.0
1788.0,Jesé,1.0
1788.0,Marcos Rojo,1.0
1788.0,Liam Rosenior,1.0
1788.0,Giuseppe Rossi,1.0
1788.0,Keith Rowland,1.0
1788.0,Youssef Safri,1.0
1788.0,Nuri Sahin,1.0
1788.0,Moussa Saib,1.0
1788.0,Henri Saivet,1.0
1788.0,Lamine Sakho,1.0
1788.0,Conor Sammon,1.0
1788.0,Carlos Sánchez,1.0
1788.0,Davinson Sánchez,1.0
1788.0,Francesco Sanetti,1.0
1788.0,Kenny Sansom,1.0
1788.0,Davide Santon,1.0
1788.0,João Moutinho,1.0
1788.0,Stefan Savic,1.0
1788.0,Sebastien Schemmel,1.0
1788.0,Christopher Schindler,1.0
1788.0,Peter Schmeichel,1.0
1788.0,Bastian Schweinsteiger,1.0
1788.0,Jason Scotland,1.0
1788.0,Kevin Scott,1.0
1788.0,Philip Scott,1.0
1788.0,Martin Scott,1.0
1788.0,Ken Sema,1.0
1788.0,Jean Michael Seri,1.0
1788.0,Luke Shaw,1.0
1788.0,Etey Shechter,1.0
1788.0,Danny Shittu,1.0
1788.0,Ryan Shotton,1.0
1788.0,Jay Simpson,1.0
1788.0,Mohamed Sissoko,1.0
1788.0,David Smith,1.0
1788.0,Richard Sneekes,1.0
1788.0,Ian Snodin,1.0
1788.0,Dominic Solanke,1.0
1788.0,Stale Solbakken,1.0
1788.0,Ibrahima Sonko,1.0
1788.0,Hélder Costa,1.0
1788.0,Nicky Southall,1.0
1788.0,Jonathan Spector,1.0
1788.0,Sébastien Squillaci,1.0
1788.0,Ronnie Stam,1.0
1788.0,Jaap Stam,1.0
1788.0,Jon Gorenc Stankovic,1.0
1788.0,Richard Stearman,1.0
1788.0,Dale Stephens,1.0
1788.0,Jonathan Stevenson,1.0
1788.0,Jordan Stewart,1.0
1788.0,Anthony Stokes,1.0
1788.0,John Stones,1.0
1788.0,Denis Stracqualursi,1.0
1788.0,Mark Summerbell,1.0
1788.0,Taye Taiwo,1.0
1788.0,Steve Talboys,1.0
1788.0,Matt Targett,1.0
1788.0,Fabinho,1.0
1788.0,André Gomes,1.0
1788.0,Ben Thatcher,1.0
1788.0,Sean Thornton,1.0
1788.0,Dwight Tiendalli,1.0
1788.0,Cheick Tioté,1.0
1788.0,Paul Tisdale,1.0
1788.0,Hatem Trabelsi,1.0
1788.0,Adama Traoré,1.0
1788.0,Armand Traore,1.0
1788.0,Paul Trollope,1.0
1788.0,Simo Valakari,1.0
1788.0,Jelle Van Damme,1.0
1788.0,Ulrich van Gobbel,1.0
1788.0,Ricky van Wolfswinkel,1.0
1788.0,Imre Varadi,1.0
1788.0,Stanislav Varga,1.0
1788.0,Barry Venison,1.0
1788.0,Nicola Ventola,1.0
1788.0,Paolo Vernazza,1.0
1788.0,Jhon Viáfara,1.0
1788.0,Luciano Vietto,1.0
1788.0,Simon Vukcevic,1.0
1788.0,Zvonimir Vukic,1.0
1788.0,Molla Wagué,1.0
1788.0,Ronnie Wallwork,1.0
1788.0,Danny Ward,1.0
1788.0,Mitch Ward,1.0
1788.0,Darren Ward,1.0
1788.0,Robert Warzycha,1.0
1788.0,Marcin Wasilewski,1.0
1788.0,Gareth Whalley,1.0
1788.0,Phil Whelan,1.0
1788.0,Adrian Whitbread,1.0
1788.0,Jeff Whitley,1.0
1788.0,Chris Whyte,1.0
1788.0,Aaron Wilbraham,1.0
1788.0,Mark Williams,1.0
1788.0,Geraint Williams,1.0
1788.0,Paul Williams,1.0
1788.0,Michael Williams,1.0
1788.0,Mike Williamson,1.0
1788.0,Marc Wilson,1.0
1788.0,Pierre Wome,1.0
1788.0,Cauley Woodrow,1.0
1788.0,Nordin Wooter,1.0
1788.0,Claudio Yacob,1.0
1788.0,Steve Yates,1.0
1788.0,DeAndre Yedlin,1.0
1788.0,Davide Zappacosta,1.0
1788.0,Zheng Zhi,1.0
1788.0,Reto Ziegler,1.0
1788.0,Kenneth Zohore,1.0
1788.0,Juan Camilo Zuñiga,1.0
2299.0,Alan Neilson,0.0
2299.0,Richard Walker,0.0
